symptoms	sentences
abdominal pain,back pain	What are you talking about?
reflux,nausea	What are you talking about?
weight loss,reflux,bloating,hiccup	How long has it been? You'reflux, bloated, hiccup, constipation, weight loss?
bloating,diarrhea,stomach ache,allergy,indigestion	The main manifestations are constipation, which is mainly due to stomach pains, stomach ache, gastric pain, bloating, etc.
disgusting,gastrointestinal discomfort,wong poon,abdominal distention,indigestion	Are there any symptoms of abdominal discomfort such as nausea, vomiting, indigestion, etc.?
abdominal distention,shortness of breath	Is there anything else that doesn't feel good, such as abdominal swelling, breathlessness, etc.? Something else?
gastrointestinal dysfunction,diarrhea,loose stool	What are the main symptoms of gastrointestinal dysfunction? Diarrhea? Possibilities?
restless,gastrointestinal discomfort	What are you talking about?
black poo,counter-current,hot heart,abdominal distention,blood in stool	Are there any symptoms of anti-acid burning of the heart, bloated blood, etc.? Is the shit normal? Have you ever had a stomach swelling?
fever,diarrhea,reflux,vomit	Then consider gastrointestinal inflammation which can be accompanied by fever, diarrhea, constipation, fatigue, wasting, etc.
fever,bloating,anorexia,gastrointestinal discomfort	The main cause of gastrointestinal discomfort is a set of what we're talking about.
gastrointestinal dysfunction,bowel sound	The intestines move too fast, causing problems in the intestinal tract. This can be eaten.
diarrhea,abdominal pain,frustration,blood in stool	How many times a day do you have to take a shit? Do you have abdominal pain, diarrhea, blood?
diarrhea,difficult eating,loose stool,stomach ache	Do you have a stomach ache or a feces?
reflux,stomach ache,vomit,nausea,heartburn	See if there's any stomach ache, nausea, vomiting, fever, constipation, diarrhea? What's the cause of this problem?
fever,jaundice,nausea,vomit	How long has this been going on? A couple of times a day? Nausea?
seung jo,helicobacter infection	If you are infected with phantom rotor bacterium, what are you taking?
diarrhea,abdominal pain,difficulty breathing	What are the symptoms of the cold? Diarrhea, abdominal pain, breathing difficulties?
gastrointestinal dysfunction,heat	In response to this consultation, the doctor updated the concluding recommendation: hello. Intestine function disorders are considered to be hot and hot.
cough,abdominal distention,sore throat	What do you think you're talking about, abdominal swelling, throat problems?
hiccup,disgusting,helicobacter infection	Is there any nausea, burp, phantom snails infection? Have you ever had an intestinal mirror?
heat,counter-current,difficult eating	Excuse me, do you have a fever, anti-acid, vomiting? Does it hurt?
tensile and heavy,loose stool	How many times a day do you have to take a shit? Do you have slime or puss? What's the matter with you?
stomach ache,hunger,hiccup	Are there any other symptoms besides stomach pains?
cough,fatigue	What are you talking about?
abdominal pain,indigestion	What are you talking about?
fever,loose stool,stomach ache	If the stomach pain does not appear unhygienic, there may be a fever.
diarrhea,vomit,indigestion	What do you think you're talking about, intestinal inflammation or indigestion?
black poo,abdominal distention,stomach ache	How long has it been? Have you had a stomach ache and a poo?
stomach ache,vomit	What do you mean, stomach pain, punctuated? Which part of the stomach is it?
diarrhea,reflux,vomit,hiccup	How long has it been? Is there anything else uncomfortable? Fusing, hiccup, constipation, diarrhea?
indigestion,abdominal distention,hot heart,counter-current	Is there a heart attack? What's wrong with digestion?
diarrhea,bloating,nausea,vomit	How long has this been going on? A couple of times a day? Bloating, constipation, diarrhea?
fever,palpitations,stomach ache	What do you think you're talking about, stomach ache, fever, constipation?
frustration,disgusting,loose stool	How many times have you had it? Is it disgusting, defecated or sick?
heat,disgusting,stomach ache	Are there any other discomforts such as nausea, vomiting, stomach ache, fever?
fever,diarrhea,nausea	What are the main problems with this situation? Diarrhea, abdominal pain, what are you talking about?
heat,heart attack	Are there any symptoms of fever, panic, etc.? Is the urine normal?
spasms,restlessness	The first is to change the bad habits of life by paying attention to the fact that fried food, pickled food, cold and hard-stimulating food, as well as the cold.
abdominal pain,abdominal distention,helicobacter infection	What's wrong with the stomach? Abdominal swollen? Is the phantom spiral bacterium tested?
diarrhea,abdominal pain,heat,counter-current,hot heart	Are there any symptoms of anti-acid fever, diarrhea, etc.? Is the urine normal?
diarrhea,ventilation,gastrointestinal discomfort	What are you talking about?
counter-current,stomach ache,sore throat	Stomach ache, which generates questions such as stomach inflammation?
disgusting,diarrhea,abdominal pain,difficult eating,stomach ache,frustration	This is mainly due to stomach pains, resulting in nausea, vomiting, gastrointestinal inflammation, causing spleen damage, which is generally not a problem.
ventilation,diarrhea,abdominal distention,indigestion	Are there any abdominal swellings? Consider the indigestion caused by gastrointestinal disorders.
disgusting,abdominal pain,difficult eating,frustration,abdominal distention	Well, if the stomach is swollen, it doesn't hurt, it's just a fecal breakdown, not a problem. It is also important to develop good eating habits, dietary patterns, not diets, and lifestyles.
difficulty breathing,fever,cramps,nausea,headache,anorexia	Creatures, cyborgs, nasal mucous membrane, hair ache, anxiety, etc.
stomach ache,abdominal pain,difficult eating,hunger	The enema of the stomach is a manifestation of stomach inflammation, which leads to a lack of appetite, a problem in the stomach caused by eating poorly.
abdominal distention,disgusting,counter-current	Is there a nausea, anti-acid, vomiting? What are you talking about?
diarrhea,abdominal distention,bitterness in the mouth,gastrointestinal discomfort	The gastrointestinal function is not good, and there are a lot of factors that can be taken into account, such as abdominal swelling, bloatedness and anxiety.
diarrhea,abdominal pain,abdominal distention,stomach ache	What are the main symptoms of an abdominal pain? A stomach ache, diarrhea, constipation?
intestinal obstruction,abdominal pain,disgusting	Are there any other discomforts besides stomach pain, nausea, vomiting? Consider gastrointestinal inflammation.
black poo,hot heart,stomach ache,indigestion	How long has it been? Is there something wrong with stomach pain, constipation or indigestion?
reflux,sputum	What are you talking about?
fever,diarrhea,anorexia,stomachache	If there is no diarrhea, there are other symptoms, such as stomach pain, which is not clear, or which one of the first vomiting of the stomach is that the diarrhea is not very strong or weak.
disgusting,diarrhea,abdominal pain,difficult eating,counter-current,frustration,abdominal distention,hiccup	The main ingredient of this product is the Marathon Curly Booting.[Adaptive] is used for the improvement of symptoms caused by abdominal swelling, nausea, vomiting, etc.
bloating,reflux,heartburn,anorexia,bitter	The term “intestinal flu” refers to viral gastrointestinal inflammation, which is not a special type of flu, manifested mainly in foods that are not functional, but which are characterized by intestinal inflammation, anorexia, cerebral burns, etc.
diarrhea,anorexia	How long has this been going on? Have you had a diarrhea?
sticky stool,gastrointestinal discomfort	Do you have a slime or a stomach problem?
counter-current,loose stool,hiccup	What are you talking about?
gastrointestinal discomfort,abdominal pain,hot heart,counter-current,abdominal distention	What's wrong with your stomach, heartburn, anti-acid, abdominal pain? Have you ever had a stomach lens?
abdominal pain,abdominal distention,hiccup	How long has it been? Are there other symptoms? Like abdominal swelling, hiccups?
diarrhea,exhaust,blood in stool	How many times a day do you have to take a shit? Are there any symptoms of exhaust, blood, diarrhea, etc.?
burning sensation in the pharynx,counter-current,dysphagia,hiccup	There's anti-acid, gas, hiccup, which is the symptom of a stomach disease?
cough,difficult eating,gastrointestinal discomfort	What are the symptoms of gastrointestinal discomfort caused by a cold?
abdominal distention,bitterness in the mouth,ventilation	The abnormal abnormalities of the stomach are characterized by abnormal abnormality, irregularity, bloated teeth, etc., which can lead to abdominal swelling and exhaustion.
sticky stool,indigestion,hiccup	There are other problems besides stomach inflammation: indigestion, gas, hiccup, sticky?
stomach ache,gastrointestinal disorders	What are you talking about?
heartburn,bowel	How many times a day do you have to take a shit? Are there any problems with gastrointestinal motors? What are you talking about?
stomachache,reflux,chest pain	What's wrong with stomach pain? Is it a chest pain?
wong poon,frustration	What are you talking about?
diarrhea,vomit,nausea,backache,stomachache,indigestion	The main manifestations of this problem are: vomiting, acidic acid, stomach ache, constipation, diarrhea, etc. Let the stomach go first.
wong poon,disgusting,water swollen	Disgusting yellow blobs are common symptoms of liver disease, among others.
gastrointestinal discomfort,stomach ache,hot heart,abdominal distention,indigestion,hiccup	What are the symptoms of the cold? Stomach ache, burning hearts, indigestion, etc.
diarrhea,black poo,abdominal pain	In response to this consultation, the doctor updated his summary recommendations: intestinal inflammation, which may be caused by bad gastrointestinal function, and if the symptoms are not alleviated, then we need to go to the hospital to test the poop and determine which causes of acute intestinal inflammation.
abdominal distention,disgusting,bowel sound	Are there any other discomforts, such as nausea, vomiting, gastrointestinal swelling, etc.?
sore throat,gastrointestinal discomfort	How long has it been? Are there any symptoms of stomach discomfort? What color is it?
bowel,gastrointestinal disorders,difficulty breathing	This situation is caused by gastrointestinal disorders, which are caused by breathing difficulties in the intestinal tract.
hiccup,abdominal distention,hunger,counter-current	Are there anti-acid, hiccup, vomiting, gastric, abdominal, etc.? Is the shit normal?
gastrointestinal dysfunction,heat,dehydration	This situation is now more likely to be caused by intestinal inflammation or gastrointestinal disorders! The fever may be associated with dehydration or infection. Are you busy?
sense of hunger,bloating,stomach ache,indigestion	In addition to stomach pains, are there other symptoms? Consider gastrointestinal inflammation or indigestion.
exhaust,reflux,hiccup	How long has it been? Is there anything else? Like exhaust, reflux, hiccup, constipation?
difficult eating,hunger,hiccup	How long has it been? Is there something wrong with the food?
diarrhea,abdominal pain,difficult eating	How long has this been going on? What are the symptoms of a stomachache? A stomach ache?
abdominal distention,stomach ache,indigestion	Are there any other problems? Stomach ache, abdominal swelling, etc.
stomachache,exhaust,bloating	What's wrong with stomach pains? Is there a stomach ache?
weight down,gastrointestinal discomfort	How long has this been going on? Have you lost weight or weight? How many times a day?
frustration,disgusting	Are you sick? Are you in pain? Have you got a stomach mirror?
hiccup,disgusting,gastrointestinal discomfort	Are there any other uncomfortable symptoms besides stomach inflammation? Is the gastrointestinal mirror normal?
cough,abdominal pain	What are the main symptoms of acute gastrointestinal inflammation? Cough, abdominal pain?
gastrointestinal discomfort,abdominal pain,bowel sound	Are there any abdominal pains? What's the cause of the gastrointestinal discomfort?
loose stool,ventilation	What's wrong with you?
abdominal distention,difficult eating,frustration	The main manifestation of stomach inflammation is gastrointestinal inflammation, which can be taken into account in the event of discomfort caused by eating unclean foods.
bloating,backache,indigestion	How long has this been going on? Is there a stomach disease that causes backache and indigestion?
diarrhea,palpitations	What are you talking about?
abdominal distention,disgusting,gastrointestinal discomfort	Are there any other discomforts, such as nausea, abdominal swelling, etc.
diarrhea,anorexia,weight loss	What do you mean, diarrhea, weight loss, anorexia?
reflux,bloating,backache,hiccup	How long has it been? Is there anything else? Like stomach, acid, gas, backache, etc.
hemorrhoid,blood in stool	Is there blood in the shit? What's the matter with you?
anemia,diarrhea	What are you talking about?
bloating,loose stool,indigestion,gastrointestinal disorders	What are the symptoms of gastrointestinal disorders? Bloated shit? Indigestion?
stomach ache,helicobacter infection	What do you have for the phantom snails?
abdominal pain,loose stool,indigestion,restlessness	The shit's dry, and generates indigestion. There are two things to look at.
loose stool,indigestion,stomach ache	What are the main manifestations of this discomfort? Stomach ache, constipation, indigestion, etc.
cough,fatigue,sputum	What are you talking about?
stomachache,dysbacteriosis,gastrointestinal discomfort	There are many reasons for this: stomach inflammation, intestinal inflammation, bacterial disorders and what kind of medication? Consider 12 finger ulcers, first for gastrointestinal inflammation, and third for dietary care, which is not a problem.
abdominal distention,hunger	What's wrong with you?
abdominal distention,ventilation	What are you talking about?
difficult eating,gastrointestinal discomfort	What are the symptoms of gastrointestinal discomfort caused by dietary difficulties?
cramps,gastrointestinal disorders	What are you talking about?
diarrhea,bloating,vomit	How many times a day do you have to take a shit? What are you talking about?
hiccup,abdominal distention,disgusting,bowel sound	Is there anything else that doesn't feel good besides being sick? Like hiccups, nausea, vomiting, etc.
abdominal distention,dysphagia	How long has it been? There's no diarrhea. What's the main thing?
diarrhea,disgusting,sore throat,gastrointestinal discomfort	Are there any other discomforts besides that? Like nausea, vomiting, stomach inflammation, or something else.
diarrhea,abdominal pain,seung jo	In response to this consultation, the doctor updated the concluding recommendations: Diarrhea drug use recommendation: to use the medication in gold or whole cellulose. In addition to stomach pains, it is recommended that the abdominal examination be conducted and that the urine be tested.
disgusting,diarrhea,heat,hematemesis,hiccup	Is there any nausea, vomiting, hiccups, fevers, diarrheal diarrhea?
cough,sneeze	What are you talking about?
heartburn,reflux,nausea,vomit	How long has it been? Is there anything else? Like heartburn, constipation, nausea, vomiting?
bloating,dizziness	How long has this been going on? Is there a stomach disease that causes diarrhea and bloated?
cough,ventilation,hiccup	What are you talking about?
difficulty breathing,frustration	How do you feel about this? When you're hungry, what are you talking about?
loose stool,indigestion,hiccup	What are you talking about?
diarrhea,abdominal distention,disgusting,counter-current	Are there anti-acids, diarrhea, abdominal swelling, nausea symptoms? What are you taking?
fever,hiccup	How long has this been going on? Have you ever had a fever, burp?
abdominal distention,loose stool,hiccup	How long has it been? There's no abdominal swelling, shit gets thinner?
stomach ache,nausea,vomit	How many times a day do you have to take a shit? Are there any other symptoms? Like stomach pains, what kind of food?
diarrhea,abdominal pain,disgusting,heat	Are there any abdominal pains, fevers, diarrhea, other uncomfortable things?
fever,cough,fatigue	What are you talking about?
difficult eating,stomach ache	What's wrong with you?
cough,nausea,sputum	What are you talking about?
difficult eating,indigestion,gastrointestinal discomfort	What are the symptoms of gastrointestinal discomfort caused by eating bad food? What are you talking about?
diarrhea,counter-current,disgusting,hot heart	Are there any other discomforts besides that, such as nausea, vomiting, burning hearts, diarrhea, etc.?
sense of hunger,bloating	How long has this been going on? Is there a sense of hunger?
abdominal pain,frustration,loose stool	How many times have you had it? Pain in the back? Frustration?
counter-current,disgusting,hunger	Are there any other discomforts, such as nausea, vomiting, gastric mirrors, etc.? What's the diagnosis?
bloating,diarrhea,stomach ache,vomit,nausea	Creatures, bloating, vomiting, gastric pain, stomach ache, constipation, diarrhea?
diarrhea,abdominal distention,difficult eating,stomach ache	How long has this been going on? A stomach swollen, vomiting, stomach ache? A problem of gastrointestinal function regulation?
cough,abdominal distention	What are you talking about?
reflux,vomit,nausea,perianal pain,hiccup	Then consider what you're talking about. Vomit, nasal pain, hiccup, constipation, diarrhea?
cough,disgusting,blood in stool	Is there blood in the shit? There's no nausea, no cough.
stomach ache,indigestion,helicobacter infection	In response to this consultation, the doctor updated the concluding recommendation: according to your information, stomach pains are caused by phantom snails infection, which may be repeated or repeated, and it is recommended that the digestive section be reviewed to see if there is a stomach indigestion infection.
stomachache,bloating,nausea,vomit	How long has it been? Is there anything else? Like stomach pain, nausea, vomiting?
nausea,vomit,sputum	There's no problem with stomach, which one of the first foods that can cause nausea and vomiting.
stomachache,sense of hunger	What do you think you're talking about, stomach pain, exacerbate your hunger?
heartburn,stomachache,hiccup,gastrointestinal discomfort	Stomach ache and hiccup are both negative and do not necessarily cause stomach discomfort.
cough,diarrhea,fatigue	The cause of this diarrhea is mainly related to acute gastrointestinal inflammation, which can be accompanied by diarrhea and fatigue.
nasal congestion,heat	How many times a day do you have to take a shit? Are there any signs of fever or congestion?
lack of energy,dizziness	The symptoms of gastrointestinal inflammation are mainly related to energy, gas and electrolytic disorders, which have little effect on the energy.
vomit,anorexia,nausea,indigestion	Then you're not clear which one of the first foods that generates questions: Vomit, anorexia, digestion, indigestion, etc.
stomachache,backache	What are you talking about?
abdominal distention,disgusting	Are you nauseous? Are there any symptoms of abdominal swelling?
diarrhea,abdominal pain,abdominal distention,bowel sound	What's wrong with the stomach? Abdominal swelling? Is the shit normal? Have you got a diarrhea?
diarrhea,abdominal pain,hot heart	What are the symptoms of this disease? Like stomach pain, heartburn, diarrhea? What are you talking about?
heat,dehydration	The first thing that happens is that it's not a big problem. It's usually a few times a day and a half. A fever can also cause dehydration.
intestinal obstruction,abdominal distention	What's wrong with you?
abdominal pain,loose stool,ventilation,gastrointestinal discomfort	What's wrong with the stomach? Is there a fecal incompetence to the toilet?
counter-current,disgusting,hot heart,stomach ache	Are there any other discomforts: nausea, vomiting, heartburn, stomach ache, etc.?
reflux,fever,weight loss,heartburn,hiccup	How long has it been? Is there anything else that doesn't feel good, like fever, gas, exhaust, etc.? Something like this?
diarrhea,frustration,stomach ache,gastrointestinal discomfort	This situation is acute gastrointestinal inflammation, which is recommended for the use of a number of retrosynthetic, mainly for stomach inflammation, stomach ache and what kind of medication? Finally, your stomach is not feeling well at night, and it is recommended that your stomach be kept warm and that treatment be provided. What's the matter with you?
cough,counter-current,hot heart	What's wrong with you?
dysbacteriosis,loose stool	The first thing that happens is that it's not good for the stomach. The second thing is that the intestinal tract is not a lot larger.
heat,frustration,disgusting	Is there any other discomfort? Like nausea, vomiting, heat, other discomforts?
disgusting,loose stool	What's wrong with you?
heat,gastrointestinal discomfort	Are you sick of your stomach right now? Have you got a fever?
diarrhea,counter-current,gastrointestinal discomfort	What are you talking about?
diarrhea,abdominal pain,loose stool	What do you see in your tummy? How many times have you had it?
weight down,abdominal pain,abdominal distention	What are you talking about?
abdominal distention,disgusting,indigestion	There are a number of dietary concerns for your information, and it is hoped that you will be able to benefit from a regular diet at the same time, in terms of symptoms, such as nausea, vomiting, etc.
dehydration,disgusting,diarrhea,abdominal pain,heat,abdominal distention	The main manifestation of acute gastrointestinal inflammation is a series of manifestations that are clinically manifested by abdominal pain, fever, diarrhea, etc. Which part of the stomach is being dehydrated?
exhaust,reflux	What are you talking about?
spasms,abdominal pain	It's not a big problem, it's a high probability of pain caused by intestinal spasms.
fever,stomach ache,vomit,gastrointestinal discomfort	See if there is any discomfort in the stomach caused by stomach pain, which can be accompanied by stomach inflammation? Consider gastrointestinal inflammation which can cause stomach pain.
anorexia,stomach ache	What do you think you're talking about, stomach ache, anorexia?
bitterness in the mouth,disgusting	Are you sick? What's the matter with you?
chest pain,abdominal distention	What are you talking about?
stomach ache,sore throat	How many times a day do you have to take a shit? Do you have a stomachache?
exhaust,loose stool,stomach ache	How many times a day do you have to take a shit? Are there any other problems? Like stomach ache, exhaust?
difficulty breathing,disgusting	Are there any other discomforts besides that, such as nausea, vomiting, breathing difficulties, etc.?
diarrhea,chest pain	What are the main symptoms of a chest infection? A chest pain or constipation?
cough,frustration	What are you talking about?
frustration,disgusting,restlessness	Is there any nausea, anxiety, anxiety? What are you talking about?
disgusting,diarrhea,counter-current,abdominal distention,hiccup	There's anti-acid, gas, abdominal, gas? What's the problem with diarrhea?
diarrhea,hiccup,counter-current,bowel sound	Are there anti-acid, gas, gastrointestinal, etc.? Is the shit normal? What's the matter with you?
difficult eating,indigestion	What are the problems of the digestive system? Consider indigestion.
diarrhea,abdominal pain,difficult eating,heat	How long has this been going on? A stomach ache? What's the matter with you?
abdominal distention,helicobacter infection,gastrointestinal discomfort	The phantom snails cause stomach discomfort. What do you take?
disgusting,dysphagia	How long has this been going on? Is there a nausea? Diarrhea?
frustration,muscle ache	What are you talking about?
fever,headache,hiccup	How long has it been? Is there anything else? Like fever, headache, hiccup?
abdominal distention,hot heart,hiccup	Is there anything else uncomfortable? Like abdominal swelling, burning heart? Is the shit normal?
gastrointestinal discomfort,diarrhea,hot heart,abdominal distention,hiccup	Are there any other symptoms besides stomach discomfort? Diarrhea, heartburn, gas, abdominal swelling?
gastrointestinal dysfunction,helicobacter infection	In response to this consultation, the doctor updated the concluding recommendation: according to the information you have given, you are advised to go to the clinic to test the stomach mirror and exclude the possibility of stomach dysfunction, which is likely to be caused by phantom rota infection.
abdominal pain,ventilation	What are you talking about?
exhaust,hiccup	What are you talking about?
cough,black stool,nausea	How many times a day do you take a shit? Do you have a nasal cavity? Have you got a cough?
anemia,hemorrhoid	If this is the case, it does not exclude hemorrhoids or other intestinal diseases, which are considered to cause anemia or anemia.
diarrhea,frequent urination	How's the urine? Have you had a diarrhea?
abdominal pain,loose stool,sticky stool,gastrointestinal discomfort	What do you see in your gastrointestinal discomfort?
abdominal pain,indigestion,bowel sound	The gastrointestinal function is not good, and it is indigestion. The intestines are not functioning well, and are prone to intestinal irritation.
diarrhea,indigestion,hiccup	How long has it been? Is there anything else that doesn't digest? Have you eaten?
gastrointestinal discomfort,stomach ache,counter-current,hot heart,indigestion	Are there any other problems, such as stomach pain, anti-acid fever, etc.? Consider what kind of problem?
heat,blood in stool	Is there blood in the shit? What's the matter with you?
black poo,hemorrhoid	If hemorrhage is still unmitigated, anal intestinal examination is recommended to see if surgery is needed in the hospital. The problem of poo is not very problematic.
sore throat,diarrhea,heat,frequent urination	Is there anything else uncomfortable? Diarrhea, fever, constipation, diarrhea? Is the urine normal?
bloating,black stool,stomach ache,bowel	Besides stomach pains, are there any other symptoms? Like stomach inflammation? Is the shit normal?
disgusting,gastrointestinal discomfort,abdominal pain,counter-current,hot heart,abdominal distention	Are there any abdominal pains, abdominal swelling, nausea, vomiting, anti-acid fever?
restlessness,diarrhea,stomach ache,hot heart,counter-current,abdominal distention,hiccup	Creature, anti-acid, gas, stomach pain, stomach swollen? What are the symptoms of this disorder?
loose stool,stomach ache	How many times a day do you have to take a shit? Have you had a stomach ache or something?
diarrhea,disgusting	What are you talking about?
counter-current,difficult eating,disgusting,stomach ache	Do you have stomach pains, nausea, vomiting, anti-acid? Consider 12 finger ulcers.
disgusting,diarrhea,abdominal pain,frustration,mental distress	There is no problem if there is no discomfort such as abdominal pain, nausea, vomiting, what kind of diarrhea?
difficulty breathing,chest pain	Is it a chest pain or a respiration problem?
cough,nausea	What are you talking about?
heartburn,fever,nausea,gastrointestinal discomfort	Then tell me what causes stomach discomfort.Fever, acne, gastrointestinal inflammation and other symptoms are taken into account.
abdominal pain,frustration,difficult eating	The symptoms of intestinal inflammation are taken into account in the event of severe abdominal pain, which leads to a lack of appetite, resulting in a reduction in the number of defections in the intestinal tract.
bowel,fatigue,gastrointestinal discomfort,diarrhea,lack of energy,fever,loose stool,stomachache	The gastrointestinal function is not good, and there is a lot of damage to the intestinal tract, which is prone to diarrhea and diarrhea, and which is not a problem. However, if the spleen is not taken or taken, it is recommended that the daily diet be adapted to the diet for a few days, and if there is no improvement in the number of times, it can be affluence and not be eaten.
counter-current,disgusting,back pain	Are there any other discomforts, such as nausea, vomiting, back pain, etc.? What's the diagnosis? Is shit normal?
diarrhea,intestinal obstruction	The first thing you do is consider incomplete infarction caused by constipation.
reflux,bloating,nausea,hiccup	How long has it been? Is there anything else that doesn't digest? A stomach acid attack?
fever,cough,sputum	What are you talking about?
ventilation,sticky stool,indigestion,blood in stool	There are other problems besides stomach inflammation, which may be indigestion, constipation, etc.
abdominal distention,loose stool,ventilation	What are you talking about?
bloating,gastrointestinal disorders	What are the symptoms of gastrointestinal disorders that are being considered? Is there a lot of questions?
diarrhea,abdominal pain,loose stool,sticky stool	How many times a day do you have to take a shit? Do you have a abdominal pain, deformity, or something?
diarrhea,nausea	How long has this been going on? Have you had a diarrhea?
abdominal pain,hot heart,hiccup	How long has it been? Is there anything else? Like abdominal pain, heartburn, etc.
bloating,gastrointestinal discomfort,vomit,nausea,hard to swallow,indigestion	What are the symptoms of the cold? Weak spleen, hard to swallow, cold and hard to digest.
stomachache,hiccup	What are you talking about?
ventilation,indigestion	What are you talking about?
heat,counter-current,hiccup	There's anti-acid, hiccup, vomiting? Is the urine normal?
diarrhea,bloating	What's wrong with you?
abdominal pain,counter-current,hot heart	Are there any other problems, such as anti-acid fever, abdominal pain, etc.?
ventilation,abdominal distention,sticky stool,hiccup	Do you have a tummy, swollen, gas? Have you done any tests?
bloating,loose stool,indigestion	How many times have you had it? The shit's dry? Indigestion?
black poo,hiccup,gastrointestinal discomfort	How long has the stomach been sick? What's wrong with the stomach? Have you eaten animal blood?
diarrhea,abdominal pain,hiccup	How long has it been? There's no abdominal pain. What's the problem?
headache,dizziness	How long has this been going on? Is there a headache? Disgusting?
dysphagia,helicobacter infection,back pain,counter-current,sore throat,abdominal distention	The back pain of the stomach is also damaged by phantom snails infection, which causes stomach swelling, which leads to anti-acid, vomiting. Which one of the first foods we use?
heartburn,diarrhea,reflux	Is there any other discomfort? Diarrhea, heartburn, fission, constipation, diarrhea?
abdominal pain,sticky stool	How many times a day do you take a shit? Do you have a slime or something? Have you got a stomach?
heartburn,sore throat	How many times a day do you have to take a shit? Do you have a throatache? Does it hurt when you burn?
disgusting,stomach ache,back pain,spasms,chest pain,hiccup	The tummy pain is due to the pain in the stomach in the back of the esophagus, but it needs to be a light diet and not a cold, so it is possible to eat something that is so hot and exciting that it can be used orally for the sake of a meal, and it is recommended that the diet be light, that the food is not too hot and that it be eaten orally or in the evening when it is empty.
bowel,diarrhea,reflux	In conclusion, it is regrettable that there has been no further communication, that the history of the disease is unclear and impossible to communicate, but considering the possibility of constipation and diarrhea, it would be better to go to the hospital to test the fecal structure and prescribe the antibiotics.
diarrhea,abdominal pain,restlessness	Are there any abdominal pains, anxiety, diarrhea? What are the symptoms of anxiety?
bloating,stomach ache,gastrointestinal discomfort	Are there any symptoms of stomach pain, bloated stomach or something?
gastrointestinal dysfunction,indigestion	This situation takes into account the behavior caused by gastrointestinal disorders and indigestion.
heartburn,reflux,gastrointestinal discomfort	In response to this consultation, the doctor updated his summary recommendations: general glyphosinol can cause heartburn and gastrointestinal discomfort.
dehydration,fatigue	In general, these questions do not necessarily lead to fat and dehydration. What do you take?
gastrointestinal dysfunction,abdominal distention,hiccup	In addition to stomach swelling and hiccup, are there other symptoms?
fever,fatigue,stomach ache	Are there any symptoms of stomach pain, fever, etc.?
hematemesis,disgusting	Is there any nausea, vomiting, he's going to show up?
disgusting,gastrointestinal discomfort,abdominal pain,counter-current,hot heart	Are there any other symptoms besides anti-acid? Like heartburn, nausea, abdominal pain, etc.
gastrointestinal dysfunction,hemorrhoid	In response to this consultation, the doctor updated the concluding recommendation: according to the information provided, you were advised to go to the clinic to take a digestive check-up and then to find out if there is hemorrhoids or an intestinal disorder.
stomachache,anorexia	What are you talking about?
diarrhea,frustration,heat,gastrointestinal discomfort	How long has this been going on? Is there a fever, diarrhea, etc. uncomfortable?
abdominal pain,hiccup	What's wrong with my stomach? Have you had a stomach ache and hiccup?
hiccup,disgusting,bowel sound	Are there any other uncomfortable symptoms? Like nausea, hiccup, vomiting, gastrointestinal reactions, etc.
gastrointestinal discomfort,abdominal distention,hot heart,counter-current	Are there anti-acid burns, abdominal swelling, etc.? Is the shit normal? What's the matter with you?
stomachache,diarrhea,nausea	What are the main symptoms of this situation? Diarrhea, abdominal pain, what are you talking about?
gastrointestinal discomfort,diarrhea,vomit,frequent urination	What are the symptoms of gastrointestinal discomfort? Diarrhea, abdominal pain, what are you talking about?
spasms,indigestion	In addition, it is important to develop good eating habits, first three meals a day, on time and well, without hot, irritable foods or foods that are not easy to digest.
exhaust,chills,stomach ache	What are you talking about?
weight down,counter-current,stomach ache	How long has this been going on? Have you lost weight, anti-acid, stomach ache?
stomach ache,gastrointestinal discomfort	What are you talking about?
diarrhea,chest pain,fatigue,stomach ache	This situation is acute gastrointestinal inflammation, which is recommended for the use of a number of retrosynthetic, mainly for stomach ache and diarrhea. If the stomach pain is too high, which product is not suitable for use?
bowel,exhaust,bloating	What are you talking about?
disgusting,hot heart,counter-current,abdominal distention,hiccup	Is there any anti-acid gas, heartburn, other discomforts?
loose stool,indigestion	How long has this been going on? Is there a fecal indigestion?
chest pain,hot heart	Are there any other problems, such as chest pain, heartburn, etc.?
diarrhea,loose stool,stomach ache	How many times a day do you have to take a shit? Do you have stomach pains? Have you got diarrhea?
hiccup,frustration,loose stool,bowel sound	What do you see in your intestine? Frustration, deformity, hiccup, bad digestion, etc.
gastrointestinal dysfunction,disgusting,diarrhea,abdominal pain,difficult eating,abdominal distention,hiccup	The main ingredient of this product is the Marathon Curly Booting.[Adaptive] is used for the improvement of symptoms caused by gastrointestinal dysfunction, nausea, vomiting, and other foods.
diarrhea,nausea,vomit	What do you mean, diarrhea, vomiting, gastrointestinal inflammation?
exhaust,bloating,stomach ache	What are the main symptoms of SIDA? Stomach ache, exhaust, fatigue, etc.
diarrhea,abdominal pain,heat,gastrointestinal discomfort	What's wrong with your stomach, abdominal pain, fever, diarrhea? Is your stomach unwell?
dysphagia,back pain	The main problem is treatment of gastrointestinal inflammation, which, in the case of back pain, is usually accompanied by abdominal inflammation and constipation. The first question is whether it is a gastrointestinal disorder or a back pain.
diarrhea,abdominal pain,difficult eating,stomach ache	What are the symptoms of the disease? Stomach ache, diarrhea, vomiting? How many times a day?
